1.Name of text: TaleOfTwoCities_clean.txt
  Total Non-blank Character Count: 616151
  Total Blank Character Count: 123425
  Total Character Count: 739576
  Percentage Blank Character: 16.69% 
  Total Word Count: 135597
  Word/Count Dictionary: 
  delayed : 1
  forlorner : 1
  accessible : 1
  Celebration : 1
  and--But : 1
  now--though : 1
  services; : 1
  recognisant : 1
  latter: : 1
  grandchildren : 1
  paused--I : 1
  faints : 2
  couch : 1
  gateway : 1
  pity--that : 1
  issuing : 1
  always-vain : 1
  shriek : 1
  wring : 1
  conquered : 1
  antipathy : 1
  underwent : 1
  crying: : 1
  by-and-bye; : 1
  above: : 1
  fold : 1
  seats : 1
  acquiesced : 1
  stretching : 1
  emptying : 1
  court's : 1
  adjourned : 1
  demonstration : 2
  augment : 1
  stricken : 1
  mortally : 2
  Dusk : 1
  four-and-twenty : 1
  Back : 1
  notorious : 1
  Unanimously : 1
  Roar : 1
  juryman's : 1
  Aristocrats : 1
  obnoxious : 1
  rooting : 1
  shoulders) : 1
  (else : 1
  self-immolations : 1
  antiquity : 1
  imitations : 1
  denouncer : 1
  services : 1
  virtues : 2
  anathematised : 1
  biding : 1
  captured : 1
  auditory : 1
  articulate : 1
  document : 1
  unbearable : 1
  descendants : 2
  dead--I : 1
  wife--so : 1
  grant : 2
  _God_ : 2
  pinioned : 1
  tightly : 1
  Honore : 2
  Rue : 1
  wife--we : 1
  wife--O : 1
  sealed : 1
  'Yes' : 1
  bravely : 1
  Charles' : 1
  wilt : 1
  Thou : 1
  thine : 1
  'It : 1
  caressing : 2
  discovered' : 1
  jewels--I : 1
  own--it : 1
  atonement : 1
  presentiment : 1
  'For : 1
  distrusted : 1
  abode : 1
  relying : 1
  inducement : 1
  believing : 1
  hateful : 1
  wrath : 1
  avert : 1
  facts : 1
  accurate : 1
  arriving : 1
  embroidered : 1
  initial : 1
  benumbed : 1
  unequal : 1
  compromised : 1
  immunities : 1
  gone: : 3
  stating : 2
  weary--worn : 1
  no' : 1
  'Under : 1
  me' : 2
  'Pray : 1
  rouleau : 2
  postponed : 1
  'At : 1
  midnight--at : 1
  incumbrance : 1
  elder; : 1
  smoother : 1
  disliked : 2
  degrading : 1
  mind--I : 1
  if--the : 1
  jealously : 1
  Until : 1
  placing : 2
  memory; : 1
  narrative : 3
  abridge : 1
  total : 1
  severe : 1
  confidence' : 1
  'Monsieur' : 1
  avoided : 1
  patient's : 1
  of' : 1
  recommended : 1
  hinds : 1
  despair' : 1
  strength' : 1
  prodigious : 1
  bodies' : 1
  'What : 1
  die' : 1
  'but : 1
  I; : 1
  'Not : 1
  dead' : 4
  arisen; : 1
  expectations : 2
  lulled : 1
  falter : 1
  twenty-six : 1
  Hush' : 1
  distinctness : 1
  abated : 1
  continuity : 1
  bedside : 2
  cross : 4
  'in : 3
  'Marquis' : 1
  obliging : 1
  completely: : 1
  him' : 1
  Proud : 1
  supporting : 1
  'He : 2
  he' : 1
  lift : 5
  'Now : 1
  soldier's : 1
  himself--thrust : 1
  defend : 1
  blood; : 1
  narrowing : 1
  here' : 2
  hand--Where : 1
  in--a : 1
  tracked : 1
  vassal : 1
  another) : 1
  burst; : 1
  diversion : 2
  away--for : 1
  now--his : 1
  brother--and : 1
  'Then : 1
  bosom' : 1
  sobbed : 1
  food--he : 1
  feed--if : 1
  Taken : 1
  persuaded : 1
  mists : 1
  frogs : 1
  quieting : 1
  harnessed : 1
  Rights : 2
  trodden-down : 1
  peasant's : 1
  indifference; : 1
  opposing : 1
  looker-on : 1
  willing' : 1
  hatred : 2
  hated : 1
  lend : 1
  admired : 1
  dog-hut : 1
  cottage--our : 1
  lover : 1
  ailing : 1
  'Nevertheless : 1
  somewhere; : 2
  out' : 1
  us--I : 1
  shutters : 2
  plundered : 1
  pillaged : 1
  forbidden : 1
  crops : 1
  Beings--taxed : 1
  speak; : 1
  race' : 1
  stands : 7
  his--that : 1
  tenants : 1
  tenant : 1
  betrothed : 1
  girls : 1
  modesty : 1
  Nobles : 3
  her' : 1
  Doctor' : 3
  She--have : 1
  outrage : 1
  Nobles; : 1
  inconvenient : 1
  acknowledge : 1
  gentleman' : 1
  sword--like : 1
  brother's : 3
  Forced : 1
  serf : 1
  crazed : 2
  monsieur' : 1
  fellow-creature : 1
  rabbit; : 1
  hare : 1
  ebbing : 1
  sword-thrust : 1
  be' : 1
  'let : 1
  examined' : 1
  it' : 2
  'Let : 1
  fellow' : 1
  doctor : 1
  dying : 7
  clenched : 4
  boy--a : 1
  cushion : 1
  hay : 3
  unshaken : 1
  circumstantial : 1
  apples : 1
  firing : 1
  fagots : 1
  stored : 1
  Hay : 1
  tiled : 1
  plastered : 1
  answered; : 2
  see' : 1
  case' : 1
  'Is : 2
  patient' : 1
  assume) : 1
  pendulum : 1
  cries; : 1
  tranquillised : 1
  spark : 1
  restraining : 1
  bandages : 1
  unfastened : 1
  deaden : 1
  nailed : 1
  hangings : 1
  temporarily : 1
  furnished--evidently : 1
  down-stairs) : 1
  (wife : 1
  dose : 1
  them' : 4
  'Do : 2
  poisons : 1
  narcotic : 1
  stoppers : 1
  here;' : 1
  'There : 3
  haughtily : 1
  place' : 1
  medicines : 4
  'how : 1
  gentlemen' : 1
  'See : 1
  o'clock' : 1
  'With : 1
  twelve' : 1
  recent : 1
  'No' : 1
  'A : 2
  'She : 5
  night' : 1
  'Since : 1
  exercised : 1
  younger; : 1
  distinguish : 1
  lasted' : 1
  'has : 1
  long' : 1
  'How : 2
  utterance : 2
  variation : 1
  'Hush' : 3
  brother' : 7
  'My : 4
  piercing : 3
  embroidery : 1
  breathing; : 1
  suffocation : 1
  strivings : 1
  patient; : 1
  contemplation : 2
  E : 1
  Noble : 1
  bearings : 1
  armorial : 1
  scarf : 4
  fringed : 1
  portions : 1
  bonds : 1
  sashes : 1
  young; : 1
  louder : 2
  proceeding : 1
  relocked) : 1
  alighting : 1
  twin : 1
  commonly : 1
  glove : 1
  footpath : 1
  it--it : 1
  estimate : 1
  Barrier--I : 1
  two-thirds : 1
  ***** : 10
  hiding-place : 1
  wander : 1
  constraining : 1
  me--the : 1
  comply : 2
  assures : 1
  clients : 1
  summoned' : 1
  'pardon : 1
  imperious : 1
  carriage' : 2
  'and : 1
  residence' : 1
  'We : 2
  graciously' : 1
  'Gentlemen' : 2
  Paris' : 1
  surgeon : 1
  'the : 2
  Beauvais' : 1
  'Doctor : 4
  Manette' : 1
  rein : 1
  apprehensive : 1
  Medicine : 1
  Street : 1
  hour's : 1
  frosty : 1
  quay : 1
  1757 : 1
  month) : 1
  twenty-second : 1
  cloudy : 1
  Judgment-seat : 1
  circumstantial--and : 1
  exact : 3
  mind--that : 1
  unimpaired : 1
  warnings : 1
  charcoal : 1
  soot : 1
  scrapings : 1
  laboriously : 1
  stolen : 1
  1767 : 2
  resident : 1
  Substance : 1
  follows : 1
  them--the : 1
  feasting : 1
  reader : 1
  stillness--the : 1
  specimens : 1
  hole : 1
  fellow-citizen : 3
  Inform : 1
  defy : 1
  warming : 1
  bell; : 1
  commendations : 1
  cannonier : 1
  crowd: : 1
  screeched : 1
  expounded : 2
  trembling; : 1
  Frantic : 1
  rebuke : 1
  hailed : 2
  acclamations : 2
  Loud : 1
  conspirator : 1
  fraud : 1
  Therese : 4
  wine-vendor : 1
  Openly : 1
  secretly : 1
  Law : 2
  proscription : 1
  privileges : 1
  Denounced : 1
  Indictment : 1
  Reaccused : 1
  Released : 1
  approvingly; : 1
  business-meaning : 1
  uncompromising : 1
  favourable : 1
  deer : 1
  empannelled : 1
  juryman : 1
  cannibal-looking : 1
  life-thirsting : 1
  hovering : 1
  perpetually : 1
  prominent : 1
  republicans : 1
  scatter : 1
  suicidal : 1
  abused : 1
  monstrously : 1
  ceremonies : 1
  ensuring : 1
  procedure : 1
  brightened : 1
  pitying : 2
  obscure : 3
  dread--pressed : 1
  sheep--whom : 1
  a-buzz : 1
  astir : 1
  refresh : 1
  surmise : 1
  errors : 1
  blindnesses : 1
  trading-boat : 1
  sea--Like : 1
  eddy : 1
  afoot : 1
  warmth : 2
  span : 1
  dominion : 1
  Death's : 1
  cathedral : 5
  Island : 1
  river-walls : 1
  splashed : 1
  walked; : 1
  theatre : 1
  theatres : 2
  gentility : 1
  liable : 1
  riders : 2
  fury; : 1
  nightly : 1
  Guillotine; : 1
  haunting : 1
  sixties : 1
  gaols; : 1
  abounding : 1
  Sleep; : 1
  Eternal : 2
  profligates; : 1
  plunderers : 1
  impostors : 1
  priestly : 1
  self-destruction : 1
  horrors : 1
  anchor : 1
  ship's : 1
  to-morrow's : 3
  dominated : 1
  liveth : 3
  live: : 4
  believeth : 6
  Lord: : 3
  resurrection : 3
  sailing : 1
  competitors : 1
  earliest : 1
  negligence : 1
  fast-sailing : 1
  hi : 2
  Hi : 2
  whistled : 1
  chemist : 2
  Whew : 1
  Giving : 1
  thoroughfare : 1
  up-hill : 1
  tortuous : 1
  chemist's : 1
  terror--he : 1
  uncleansed : 1
  thoroughfares : 1
  dirtier : 1
  streets--much : 1
  pencil : 1
  glimmering : 1
  Aha : 1
  student : 1
  timed : 1
  grinning : 1
  Word : 1
  Less : 1
  sixty-three : 2
  citizen; : 2
  Figure : 1
  batch : 2
