1.Name of text: WarAndPeace_clean.txt
  Total Non-blank Character Count: 2626774
  Total Blank Character Count: 511698
  Total Character Count: 3138472
  Percentage Blank Character: 16.30% 
  Total Word Count: 562492
  Word/Count Dictionary: 
  fairness : 1
  talk--all : 1
  least; : 1
  fathomed : 1
  gentian : 1
  thirsty : 1
  (Nicholas') : 1
  Ermishin : 1
  to-do : 1
  thrifty : 1
  vexations : 1
  laxity : 1
  harvested : 1
  sown : 2
  lazy : 1
  divide : 1
  debit : 1
  properties : 1
  analyzing : 2
  bailiff : 1
  unerringly : 1
  Guided : 1
  effective-- : 1
  agent : 1
  plows : 1
  manures : 1
  oxygen : 2
  nitrogen : 2
  mind's : 1
  hobby : 1
  treatises : 1
  theoretical : 1
  farmer: : 1
  Otradnoe--that : 1
  eyes--and : 1
  exterior : 1
  misplaced : 1
  fills : 1
  now--but : 1
  ill-humored : 1
  civilities : 1
  Making : 1
  Remembering : 1
  assistance; : 1
  uncomplaining : 1
  death-- : 1
  out--his : 1
  incurred : 2
  irredeemably : 1
  whims : 1
  keep) : 1
  Vrazhek : 1
  abhorrence : 1
  remainder : 4
  unpaid : 1
  succeeded; : 1
  contracting : 1
  remorselessly : 1
  losses)--now : 1
  (if : 2
  Friends : 1
  rented : 1
  died; : 1
  property--that : 1
  infectious : 1
  enterprising : 1
  accessible : 3
  processes : 1
  helps : 1
  bee's : 1
  fertilizes : 1
  pistil : 1
  perpetuate : 1
  pollen : 3
  chalice : 1
  sucking : 1
  admires : 1
  poet : 1
  stung : 1
  ether : 1
  despises : 1
  power--Alexander : 1
  mendacious : 1
  peoples--at : 1
  fatherland--now : 1
  pacifier : 1
  1815 : 1
  liberalism : 1
  I; : 1
  grievance : 1
  personality; : 1
  co-operated : 1
  interests; : 1
  overshadowing : 1
  drama : 1
  paint: : 1
  disrobe : 1
  bidden : 1
  occurs: : 1
  backwash : 2
  before--Paris : 1
  sovereigns; : 1
  anticipate : 2
  forces; : 1
  disagreements : 2
  floods : 1
  eddies : 1
  abate : 2
  channels : 1
  dominion : 1
  sail : 1
  perceives : 1
  brigand : 4
  outlawed : 2
  later--an : 1
  Deprived : 1
  detest : 1
  account; : 1
  midway : 1
  adhesion : 1
  dimensions; : 1
  coalescence : 1
  1809--precede : 1
  west--similar : 1
  Attempted : 1
  countermovement : 4
  frosts--and : 1
  occur--from : 1
  taken; : 1
  goal--Moscow : 1
  eastward : 4
  pushes : 1
  brothers-in-law : 1
  stepsons : 1
  prepares : 1
  utilizes : 1
  Caesars : 2
  insensate : 1
  ten-year : 1
  Central : 2
  happen--despite : 1
  Europe--except : 1
  Austerlitz; : 1
  directs : 3
  him--thereby : 1
  contrives : 2
  pretends : 1
  legislature : 1
  lying--he : 1
  self-adulation : 1
  developed : 3
  alone--with : 1
  ignoble : 1
  rash : 1
  imputed : 1
  murdering : 1
  significance--that : 1
  supernatural : 2
  ascribing : 1
  grandeur--which : 1
  glory--it : 1
  outrages : 1
  elude : 1
  fleet : 3
  shot; : 1
  surrenders : 1
  Impregnable : 1
  prestige--do : 1
  armies--just : 1
  verge : 2
  unsuccessful: : 1
  rulers : 17
  Innumerable : 1
  opponents' : 1
  falsehoods : 1
  colleagues : 1
  chances--from : 1
  emerges--by : 1
  inadequately : 1
  customs : 2
  antecedents : 1
  discarding : 1
  facts--that : 1
  capabilities) : 1
  (incommensurable : 1
  fattened : 2
  aims; : 1
  sheepish : 1
  oats--that : 1
  herdsman : 2
  ram : 5
  rams : 2
  agencies; : 1
  scope : 3
  occurs; : 1
  utilized : 2
  situation; : 1
  Chance : 6
  printing : 1
  else--then : 1
  diffusion : 2
  ends--the : 1
  ruled : 6
  existed: : 1
  government--an : 1
  formulated : 1
  ground) : 1
  (these : 1
  him--of : 1
  accusers : 1
  differently; : 1
  events; : 1
  contradictions : 7
  harmonize : 1
  universities : 2
  displeases : 1
  praiseworthy : 1
  changes; : 1
  lapse : 2
  learning: : 1
  professor : 1
  present-day : 1
  that)--had : 1
  accuse : 1
  character--though : 1
  power; : 2
  inseparable : 1
  influences: : 1
  blinding : 1
  pinnacle : 1
  later) : 1
  1820 : 4
  restoration : 3
  sources--the : 1
  1813) : 1
  enumerate : 1
  disbanding : 1
  mysticism : 3
  favoring : 1
  essayist : 1
  literature : 1
  culprit : 1
  acquitted : 1
  Chateaubriand : 5
  Fichte : 2
  Photius : 2
  treaties : 1
  rotate : 1
  Historic : 1
  displacement : 1
  kingdoms : 1
  us) : 1
  (mysterious : 1
  shores : 1
  storm-tossed : 1
  EPILOGUE: : 1
  FIRST : 1
  yet--someday : 1
  forgave : 1
  Understandable : 1
  nocturnal : 1
  reawakened : 1
  long-extinguished : 1
  bath--in : 1
  insight : 2
  afterlife : 1
  feeling) : 1
  everybody--both : 1
  only--his : 1
  world--seemed : 1
  higher' : 1
  deluding : 1
  this--and : 1
  return' : 2
  meditations : 1
  interpretations : 1
  self-control : 1
  lengthy : 1
  Tomorrow--but : 1
  roguish : 1
  passengers : 1
  cabmen : 1
  Colosseum : 1
  burned-out : 1
  tumble-down : 1
  picturesqueness : 1
  bribes : 2
  No; : 1
  met--Whom : 1
  his--and : 1
  count--the : 1
  Savelich's : 1
  cropped; : 1
  bath; : 1
  fresh--as : 1
  live--nor : 1
  relive : 1
  again' : 1
  'Would : 1
  untold : 1
  attention: : 1
  absorb : 1
  workshop--but : 1
  contribute : 1
  retell : 1
  enrich : 1
  man--that : 1
  illiterate : 1
  is--were : 1
  men--all : 1
  sight--children : 1
  wandered--evidently : 1
  re-experiencing : 1
  him--I : 1
  eligible : 1
  ascribed : 1
  egotistic : 1
  now); : 1
  Stepanych : 1
  Abramovna : 1
  resolution; : 1
  resolving : 1
  abstraction : 6
  anyone--all : 1
  controlling : 1
  any--were : 1
  had--if : 1
  good--so : 1
  thing--to : 1
  cases--began : 1
  Mary--reluctantly : 1
  standpoint : 3
  state; : 1
  unrecognizable : 1
  unrecognizable; : 1
  still-stronger : 1
  still-deeper : 1
  done--did : 1
  clearly--clearer : 1
  thinking--especially : 1
  rusty : 1
  imagine--I : 1
  damage : 1
  fire; : 1
  burned--in : 1
  Drubetskoys : 1
  someone--he : 1
  parcel : 1
  trifling--such : 1
  reviving : 1
  bubbling : 1
  annex : 1
  estimates : 1
  Kremlin; : 1
  Faceted : 2
  pigeonholes : 1
  baize- : 1
  clerks : 1
  Donors : 1
  Cookshops : 1
  booths : 1
  repaired : 1
  carpenters : 3
  Gangs : 1
  discomfiture : 1
  peasants--streamed : 1
  self-interest--house : 1
  effect: : 1
  reoccupation : 1
  cathedrals : 1
  luxuries : 1
  palaces : 1
  goods-- : 1
  stocked : 1
  granaries--for : 1
  warehouses : 1
  bazaars : 1
  craftsmanship : 1
  organizations : 1
  plundering : 3
  plunderers : 3
  householders : 1
  Trains : 1
  common: : 1
  houses--it : 1
  exists; : 1
  indestructible : 2
  insects : 1
