1.Name of text: LesMiserables_clean.txt
  Total Non-blank Character Count: 2629426
  Total Blank Character Count: 518230
  Total Character Count: 3147656
  Percentage Blank Character: 16.46% 
  Total Word Count: 562208
  Word/Count Dictionary: 
  obliterated; : 1
  Fortunata--Applause : 1
  Fortunatus : 1
  Gillenormand--Pardieu : 1
  submersion : 1
  ailment : 1
  paining : 1
  Haydn : 1
  silversmith's : 1
  faience : 1
  glassware : 1
  quintuple : 1
  sconces : 1
  girandoles : 1
  candles; : 1
  lustre : 1
  Mist : 1
  Illumination : 1
  maxims : 1
  invited; : 1
  intercepting : 1
  hearts; : 1
  supposes : 1
  tones: : 2
  tinged : 1
  ascension : 1
  handmaidens : 1
  apotheoses : 1
  sublimated; : 1
  Prouvaire; : 1
  irrecoverable : 1
  irrevocable : 2
  whisper: : 1
  nestling : 1
  enchanting : 1
  sky: : 1
  halberd : 1
  tapping : 1
  suisse : 1
  censer : 1
  yesses : 1
  demagogical : 1
  Devil's : 1
  Barras : 1
  barricade--were : 1
  lines--the : 1
  perfumed; : 1
  taffeta : 2
  ourselves; : 1
  candidates : 1
  SLING : 1
  WEARS : 1
  STILL : 1
  hay-mow : 1
  Wedding-parties : 1
  Cadran-Bleu : 1
  wedding-party : 2
  Ash : 1
  Hurry : 1
  spin : 1
  Know : 1
  [pantinois] : 1
  wedding-cart : 1
  dialogue: : 1
  warm; : 1
  exchanging : 1
  loup[67] : 1
  moustache : 1
  fishmarkets : 1
  masquerades; : 1
  crowd's : 1
  rebuke : 1
  sham : 1
  masker : 1
  lighterman : 1
  Paint : 1
  masters--one : 1
  masters--when : 1
  it--willingly : 1
  Paris--let : 1
  buffoons : 1
  populaces : 1
  disaggregate : 1
  be-flowered : 1
  be-ribboned : 1
  twenty-headed : 1
  shames : 1
  enticed : 1
  piling : 1
  affinity : 1
  car : 1
  apotheosis; : 1
  flag; : 1
  roars; : 1
  enjoyment; : 1
  freight : 1
  Piron : 1
  Panard : 1
  Colle : 1
  laps : 1
  landau : 1
  mascarades : 1
  Tournois : 1
  allot : 1
  carriage-loads : 2
  semi-nudity : 1
  sprays : 1
  Bacchanal : 1
  Tuesday; : 1
  Vade : 2
  Thespis : 1
  shamelessness : 1
  unchained; : 1
  Janot : 1
  dandified : 2
  Aristophanes : 1
  Maenads : 1
  fishwives : 1
  Marquises : 1
  grotesquenesses : 1
  Harlequins : 1
  Cassandras : 1
  Mid-Lent : 1
  wagon-loads : 1
  carriage-load : 3
  disentangled; : 1
  vehicles; : 1
  harlequinade : 1
  Columbines : 2
  Clowns : 1
  great-aunts : 1
  coaches : 2
  sheep-dogs : 1
  Seymour's : 1
  Gras : 1
  Ambassadors : 1
  Police-sergeants : 1
  carioles : 1
  tapissieres : 1
  citadines : 1
  Longchamps--of : 1
  procession--peculiar : 1
  maskers : 12
  peristyles : 1
  Carnival : 4
  Tuesdays : 1
  Clown : 1
  Pantaloon : 1
  Merry-Andrew : 2
  Maskers : 1
  masquerade : 1
  married; : 1
  maskers--Capital : 1
  Gillenormand--Because : 1
  vehicles--Why : 1
  jam : 1
  Pare-Royal : 1
  repaving : 1
  noting : 1
  buttonhole : 1
  nosegay : 1
  supervising-guardian : 1
  swathe : 1
  merrymaking : 1
  notwithstanding : 1
  ingrats'[66] : 1
  enfants : 1
  N'aura : 1
  Mardi : 1
  'Mariage : 1
  proverb: : 1
  Hesitations : 1
  banns : 1
  Natural : 1
  homes : 1
  immodest : 1
  banquet : 3
  celebrations; : 1
  wedding-day : 1
  Malbrouck : 1
  Marlborough : 1
  Churchill : 1
  post-chaise : 2
  vantbrace : 1
  Lonjumeau; : 1
  Postilion : 1
  eked : 1
  suffice; : 1
  tete-a-tete : 1
  commonplace : 2
  clic-clacs : 1
  exquisiteness : 1
  Song : 1
  combining : 1
  Cupids : 1
  FEBRUARY : 1
  16TH : 1
  SLEEPLESS : 1
  spark' : 1
  cess-pool--more : 1
  fruitlessness : 1
  gave: : 1
  bribed : 1
  gratuity : 1
  fable : 2
  hackney-coachman : 1
  trace; : 1
  Unheard-of : 2
  halt; : 1
  therefrom : 1
  Sewer; : 1
  police-agent : 6
  re-captured : 1
  remotest : 1
  bier : 1
  contumacy : 1
  contumacious : 1
  inconsistently : 1
  eliminated : 1
  Obliteration : 1
  quittance : 1
  retrospective : 1
  scrupulous : 2
  pre-occupations : 1
  enchantment : 2
  conclusive : 1
  nightmares : 1
  himself--was : 1
  obsessions : 1
  agony--Many : 1
  language--still : 1
  loftiness : 1
  chaperon : 1
  interviews : 1
  Fauchelevent--This : 1
  MINGLED : 1
  DREAMS : 1
  EFFECTS : 1
  Saxe : 1
  draped--On : 1
  Roche-Guyon : 1
  d'Anville : 1
  blossoms--It : 1
  auricula : 1
  buttercup-colored : 1
  resigning : 1
  grandfather--M : 1
  half-million : 1
  externally : 1
  resentful : 1
  Somewhat : 2
  aunt--it : 1
  despot-turned : 1
  spinster's : 1
  torpor : 1
  neutralized : 1
  Aves : 1
  euchology : 1
  millionairess : 1
  festive : 1
  --there's : 1
  quiconque[65] : 1
  ravissait : 1
  ravissants : 1
  conque : 1
  tirait : 1
  devant : 1
  trottait : 1
  Triton : 2
  Amphitrite : 1
  Nereids : 1
  Dryads : 1
